epoch,domain_classifier_acc,domain_classifier_loss,label_predictor_acc,label_predictor_loss,loss,val_domain_classifier_acc,val_domain_classifier_loss,val_label_predictor_acc,val_label_predictor_loss,val_loss
0,0.54,0.6909535503387452,0.09,2.305248050689697,2.9962016201019286,0.6000000238418579,0.6995579600334167,0.11999999731779099,2.2882187366485596,2.987776756286621
1,0.47,0.6980528688430786,0.15,2.2704023933410644,2.9684552574157714,0.6000000238418579,0.6853630542755127,0.11999999731779099,2.268526077270508,2.9538891315460205
2,0.5,0.6898462867736816,0.2,2.2441297149658204,2.933976020812988,0.5199999809265137,0.6765679121017456,0.11999999731779099,2.250004291534424,2.926572322845459
3,0.53,0.6729600667953491,0.22,2.2230343627929687,2.8959944343566892,0.6399999856948853,0.6709897518157959,0.11999999731779099,2.252163887023926,2.9231536388397217
4,0.69,0.6668306398391723,0.22,2.1917733573913574,2.858603973388672,0.5199999809265137,0.6929651498794556,0.11999999731779099,2.2495903968811035,2.9425554275512695
5,0.47,0.7192917132377624,0.24,2.223277254104614,2.9425690269470213,0.47999998927116394,0.7134082317352295,0.11999999731779099,2.250741481781006,2.9641497135162354
6,0.53,0.6865825128555297,0.19,2.207073001861572,2.893655529022217,0.47999998927116394,0.6903518438339233,0.11999999731779099,2.2504007816314697,2.9407525062561035
7,0.48,0.6878376960754394,0.17,2.2178196334838867,2.9056573867797852,0.47999998927116394,0.6940242052078247,0.11999999731779099,2.2475078105926514,2.9415321350097656
8,0.47,0.7006590104103089,0.22,2.205393867492676,2.906052894592285,0.6000000238418579,0.6812658905982971,0.11999999731779099,2.237438440322876,2.9187042713165283
9,0.5,0.6998960185050964,0.22,2.211750936508179,2.9116469192504884,0.6000000238418579,0.6729448437690735,0.11999999731779099,2.2233264446258545,2.896271228790283
10,0.51,0.6972630119323731,0.21,2.162775840759277,2.860038833618164,0.47999998927116394,0.6946883201599121,0.11999999731779099,2.2247707843780518,2.919459104537964
11,0.44,0.7032140064239502,0.21,2.1777189636230467,2.8809329319000243,0.47999998927116394,0.6903398633003235,0.11999999731779099,2.2156879901885986,2.9060277938842773
12,0.51,0.6907335829734802,0.23,2.1485424423217774,2.8392760276794435,0.4399999976158142,0.707413911819458,0.11999999731779099,2.201225519180298,2.908639430999756
13,0.49,0.701317687034607,0.24,2.169606952667236,2.870924701690674,0.47999998927116394,0.7110389471054077,0.11999999731779099,2.2042789459228516,2.915318012237549
14,0.55,0.6893076300621033,0.23,2.17757134437561,2.8668789768218996,0.5199999809265137,0.6992625594139099,0.11999999731779099,2.2008590698242188,2.9001216888427734
15,0.55,0.6878941750526428,0.19,2.195824689865112,2.8837188625335695,0.6000000238418579,0.6720318794250488,0.11999999731779099,2.191019058227539,2.863050937652588
16,0.51,0.6996053981781006,0.23,2.175552053451538,2.8751574325561524,0.6000000238418579,0.671282172203064,0.11999999731779099,2.1845943927764893,2.8558764457702637
17,0.53,0.6900162935256958,0.2,2.184849166870117,2.8748654556274413,0.5199999809265137,0.6921327114105225,0.11999999731779099,2.1810076236724854,2.873140335083008
18,0.53,0.6893391942977906,0.21,2.1595475482940674,2.848886795043945,0.47999998927116394,0.6969228982925415,0.11999999731779099,2.1924757957458496,2.8893985748291016
19,0.49,0.6981487321853638,0.22,2.2022921371459963,2.9004408264160157,0.3199999928474426,0.7198797464370728,0.11999999731779099,2.2016091346740723,2.9214887619018555
20,0.5,0.6854747557640075,0.22,2.148070774078369,2.833545513153076,0.47999998927116394,0.6869322061538696,0.11999999731779099,2.2005603313446045,2.8874926567077637
21,0.68,0.6840639448165894,0.22,2.159004120826721,2.843068046569824,0.5600000023841858,0.683570921421051,0.11999999731779099,2.2053420543670654,2.8889129161834717
