epoch,acc,loss,lr,val_acc,val_loss
0,0.1757,2.256341478729248,0.001,0.1956,2.2384497318267824
1,0.1908,2.239928611755371,0.001,0.1956,2.236050003814697
2,0.1919,2.2382148021697996,0.001,0.1956,2.237500708770752
3,0.1918,2.2360481216430665,0.001,0.1956,2.233102387237549
4,0.1926,2.2370368202209474,0.001,0.1956,2.230723070907593
5,0.193,2.2353398834228515,0.001,0.1956,2.2324787986755372
6,0.1925,2.2343771324157715,0.001,0.1956,2.2318638786315916
7,0.1926,2.2343160045623778,0.001,0.1956,2.2297037078857422
8,0.1923,2.232534097671509,0.001,0.1956,2.2302283462524413
9,0.1924,2.233201823425293,0.001,0.1956,2.2301840225219727
10,0.1924,2.232659422302246,0.001,0.1956,2.2303474281311035
11,0.1928,2.232414066314697,0.001,0.1956,2.2280691955566407
12,0.1923,2.230664754486084,0.001,0.1956,2.2255105422973633
13,0.1921,2.2283272094726563,0.001,0.1956,2.223237479400635
14,0.1938,2.2252562175750734,0.001,0.1956,2.2198968662261964
15,0.1946,2.221329824447632,0.001,0.1992,2.211136427307129
16,0.2021,2.2081734687805175,0.001,0.2448,2.191609433746338
17,0.2179,2.177764849472046,0.001,0.2668,2.115434428024292
18,0.2543,2.103729225540161,0.001,0.3016,2.0015958984375
19,0.3086,1.9739740398406982,0.001,0.396,1.788171190261841
20,0.4035,1.7339880849838256,0.001,0.4184,1.7034681339263915
21,0.4829,1.5266879344940185,0.001,0.5688,1.335792780303955
22,0.5528,1.3285895719528198,0.001,0.6292,1.1869658131599425
23,0.6056,1.1963685885429383,0.001,0.6836,1.0501601426124574
24,0.6492,1.0851251390457153,0.001,0.696,0.9826123880505562
25,0.6895,0.9809013409614563,0.001,0.7436,0.8787244304180145
26,0.7077,0.9154544374465943,0.001,0.756,0.8207053435444832
27,0.7282,0.860925645160675,0.001,0.76,0.808895928299427
28,0.7508,0.7815117017745972,0.001,0.7928,0.7130488520920276
29,0.7679,0.7448412690162659,0.001,0.7856,0.7355159135460854
30,0.7783,0.7047266072273254,0.001,0.7948,0.6849208478257061
31,0.7829,0.6749727650642395,0.001,0.808,0.6803224752098322
32,0.795,0.6502631255626679,0.001,0.8132,0.6635198653846979
33,0.8111,0.6200932780742645,0.001,0.8084,0.66552522777915
34,0.8108,0.5953761940479279,0.001,0.8224,0.6129795946344734
35,0.8166,0.584213276386261,0.001,0.8308,0.5893161434784532
36,0.8264,0.5533689639091491,0.001,0.824,0.5895632903393357
37,0.8307,0.5414240857124328,0.001,0.824,0.5921047397874296
38,0.834,0.5231997149467468,0.001,0.834,0.5691197543136776
39,0.8445,0.49264520111083987,0.001,0.838,0.5622674053676426
40,0.8466,0.4976050394535065,0.001,0.8356,0.5482189964674413
41,0.8491,0.4803131898403168,0.001,0.8476,0.5311107110798359
42,0.855,0.4626754383563995,0.001,0.8368,0.5636867547921837
43,0.8593,0.45330899538993835,0.001,0.8444,0.5284964643627406
44,0.8592,0.44341168763637545,0.001,0.8456,0.5182456466183066
45,0.8639,0.4378978819608688,0.001,0.8508,0.5253754024662077
46,0.867,0.42052401983737947,0.001,0.8444,0.5275569463361055
47,0.8661,0.41095117709636686,0.001,0.8448,0.5266246158640832
48,0.8724,0.39856548097133637,0.001,0.848,0.5048363356620074
49,0.8743,0.39809729158878326,0.001,0.8548,0.4985401074277237
50,0.8795,0.3779163158416748,0.001,0.8512,0.5003363701414317
51,0.8781,0.3750824203133583,0.001,0.8532,0.5109281212233007
52,0.8848,0.35869591083526614,0.001,0.8568,0.48916675368594004
53,0.8854,0.35493737785816193,0.001,0.856,0.495297628425993
54,0.8915,0.3460111085772514,0.001,0.8516,0.49953045041058214
55,0.8919,0.339574136865139,0.001,0.8516,0.4942103473836556
56,0.8978,0.3241805302619934,0.001,0.8524,0.5027910651365295
57,0.8956,0.32445998359918593,0.001,0.8552,0.48831288631989156
58,0.9016,0.30824518263339995,0.001,0.86,0.4809573380662128
59,0.8939,0.3120861779332161,0.001,0.8536,0.4998075118445791
60,0.9014,0.30779630229473115,0.001,0.8596,0.4834594611401204
61,0.9038,0.2942138661324978,0.001,0.8668,0.48212422530306503
62,0.9065,0.2920571132540703,0.001,0.8584,0.49250730214258653
63,0.9111,0.28255255984663963,0.001,0.864,0.48873382827602324
64,0.9151,0.2640522223830223,0.00020000001,0.8664,0.47930628846148027
65,0.9198,0.24912278490066528,0.00020000001,0.868,0.48067702491092495
66,0.9217,0.24831968643069266,0.00020000001,0.8644,0.4758678513449151
67,0.9256,0.24411300328373908,0.00020000001,0.864,0.4811624139460037
68,0.9224,0.24412684803009033,0.00020000001,0.868,0.4830356811847771
69,0.92,0.2466431364774704,0.00020000001,0.8648,0.47807455520892983
70,0.9254,0.23567073996067048,0.00020000001,0.8676,0.4819291022445075
71,0.9241,0.23524267413020133,0.00020000001,0.8668,0.4805950766770402
72,0.9224,0.23396164778470993,4.0000003e-05,0.8704,0.4790712103956146
73,0.9271,0.23030875626206398,4.0000003e-05,0.87,0.47932079229855445
74,0.9229,0.2387251150727272,4.0000003e-05,0.8708,0.4793101875339169
75,0.9265,0.22826235564947128,4.0000003e-05,0.87,0.48024216971942224
76,0.922,0.2432795733690262,4.0000003e-05,0.8684,0.4806507661343436
