epoch,domain_classifier_acc,domain_classifier_loss,label_predictor_acc,label_predictor_loss,loss,val_domain_classifier_acc,val_domain_classifier_loss,val_label_predictor_acc,val_label_predictor_loss,val_loss
0,0.9036,0.3991393103480339,0.3506,1.8138610261917114,2.213000332164764,0.9876,0.062450861816108226,0.8008,0.6730357019901275,0.7354865653991699
1,0.7149,0.5228218033224344,0.8021,0.6227301611423492,1.1455519686698914,0.77,0.5179175174713134,0.9044,0.33488392028808595,0.8528014390945434
2,0.6716,0.6198641494750976,0.8745,0.40784167366027835,1.0277058267593384,0.754,0.5781646181106568,0.9164,0.2792495523452759,0.8574141689300537
3,0.6987,0.6119527186393737,0.8704,0.41993272948265076,1.0318854516029359,0.9072,0.33384497227668763,0.93,0.23684619362354278,0.5706911650657653
4,0.7064,0.6102784023761749,0.884,0.3913376173973083,1.0016160235404967,0.894,0.5081157320976257,0.9424,0.22177772201299667,0.7298934519767761
5,0.6696,0.6241377937316894,0.8986,0.32859391185045245,0.9527317044258118,0.7368,0.5473931789398193,0.9312,0.2235362826347351,0.7709294609069824
6,0.7223,0.6538199253559113,0.8913,0.3900697340786457,1.0438896571159362,0.7348,0.5624218558311462,0.8908,0.44982548539638517,1.012247342300415
7,0.7259,0.5821355836868286,0.8957,0.3611058978021145,0.9432414813995361,0.2912,1.2366713044166564,0.9188,0.26237716886997225,1.4990484722137452
8,0.8113,0.46694841933250425,0.9064,0.3145234976053238,0.7814719179153442,0.8108,0.4527016694545746,0.94,0.20267612260580062,0.6553777950763703
9,0.6854,0.6889021558284759,0.893,0.3996651220791042,1.0885672741889953,0.7388,0.5341408249855042,0.9292,0.22924533935189248,0.763386170578003
10,0.7469,0.6794326711654664,0.8987,0.44188268781006335,1.1213153599739074,0.9468,0.3823178482532501,0.9524,0.15500277806487867,0.53732062561512
11,0.7073,0.584390346956253,0.9281,0.24866656517386437,0.8330569137573243,0.774,0.4321611555099487,0.9448,0.17427761071585118,0.6064387647628784
12,0.7195,0.6097850850105285,0.908,0.33281046448349955,0.9425955518722534,0.5448,0.6801957282066345,0.948,0.16282490245103837,0.8430206295013428
13,0.8496,0.384087836933136,0.9331,0.23435015379190444,0.6184379917144776,0.9796,0.13308504705429078,0.9528,0.15855003883838653,0.29163508446216585
